Number,Type,Nature/AI,Source,Premise,Hypothesis,Res,
154,if,Nature,欧阳山 苦斗,如果让给你一块鸡腿，嘴里再恭维你几句，那你吃过饭就该卷铺盖，到帐房去算帐，是辞你了。吃这顿饭，就叫做吃“无情鸡”。大革命的时候，这种随便解雇工人的陋习，已经取消。,"A.如果让给你一块卤鸡腿，嘴里再恭维你几句，那你吃过饭就该卷铺盖，到帐房去算帐，是辞你了。
B.如果让给你一块肉，嘴里再恭维你几句，那你吃过饭就该卷铺盖，到帐房去算帐，是辞你了。
C.吃这顿饭，就叫做吃“有情鸡”。
D.大革命的时候，这种随便解雇工人的陋习一直留存着。",A,
155,if,Nature,迟子建 额尔古纳河右岸,麝香能治疗中毒，有醒脑、通窍的作用。除了这些，它还可以作为避孕的药物，只要闻一闻它的气味，就可以起到避孕的效果。如果一个妇女把麝香终日揣在衣兜里，她就会终生不孕。,"A.如果一个妇女把罗曼麝香终日揣在衣兜里，她就会终生不孕。
B.如果一个妇女把药材终日揣在衣兜里，她就会终生不孕。
C.麝香没有醒脑、通窍的作用。
D.麝香不能起到避孕的作用。",A,
156,if,AI,,苹果富含维生素，于人体健康有益。如果苹果放在通风良好的地方，能延长保质期。,"A.如果红苹果放在通风良好的地方，能延长保质期。
B.如果水果放在通风良好的地方，能延长保质期。
C.吃苹果对人体健康有坏处。
D.苹果缺少维生素。",A,
157,if,AI,,在夏天，如果喝冰镇过的可乐，会感觉更解暑。小明最喜欢在夏天运动完以后喝一点冰可乐。,"A.在夏天，如果喝冰镇过的可口可乐，会感觉更解暑。
B.在夏天，如果喝冰镇过的饮料，会感觉更解暑。
C.小明不喜欢在夏天运动完以后喝一点冰可乐。
D.如果在夏天喝加热过的可乐，会更解暑。",A,
158,if,AI,,如果水鸟在适宜的环境生存，能更好繁衍。共青森林公园里就有很多水鸟。,"A.如果鸭子在适宜的环境生存，能更好繁衍。
B.如果鸟类在适宜的环境生存，能更好繁衍。
C.适宜的环境不利于水鸟繁衍。
D.共青森林公园里没有水鸟。",A,
159,if,AI,,如果玫瑰得到充足光照，就会生长得更茁壮。花店老板们总会把店选在能照到阳光的地方。,"A.如果多头玫瑰得到充足光照，就会生长得更茁壮。
B.如果花卉得到充足光照，就会生长得更茁壮。
C.充足的光照对玫瑰生长有坏处。
D.花店老板们总会把店选在阴暗的地方。",A,
160,if,AI,,如果在制作汤品时添加鲜味调料，可以提升整体风味。不过加多了会有点咸，因此料理时要掌控好“度”。,"A.如果在制作汤品时添加干贝，可以提升整体风味。
B.如果在制作汤品时添加调料，可以提升整体风味。
C.制作汤品时如果加多了鲜味调料会有点淡。
D.料理时不用掌控好“度”。",A,
161,if,AI,,如果轿车定期保养，能减少故障发生。车辆保养的价格不便宜，所以很多车主会购买优惠保养套餐。,"A.如果宝马车定期保养，能减少故障发生。
B.如果车辆定期保养，能减少故障发生。
C.很多车主拒绝购买优惠保养套餐。
D.车辆保养的价格很便宜。",A,
162,if,AI,,如果冰箱合理使用冰箱，能延长使用寿命。冰箱也需要日常维护，如定期除霜等。,"A.如果合理使用双开门冰箱，能延长使用寿命。
B.如果合理使用电器，能延长使用寿命。
C.冰箱不需要定期除霜。
D.冰箱不需要日常维护。",A,
163,if,AI,,如果食用非油炸薯片，那么一般不会导致肥胖。但是不能每天只吃薯片，我们需要均衡的饮食结构。,"A.如果适量食用黄瓜味非油炸薯片，那么一般不会导致肥胖。
B.如果适量食用薯片，那么一般不会导致肥胖。
C.可以每天只吃薯片。
D.我们不需要均衡的饮食结构。",A,
164,if,AI,,如果白菜新鲜，烹饪出的菜肴口感更好。妈妈喜欢到菜市场买每天的第一批白菜，我们都很喜欢吃白菜炖肉。,"A.如果小白菜新鲜，烹饪出的菜肴口感更好。
B.如果蔬菜新鲜，烹饪出的菜肴口感更好。
C.妈妈不喜欢到菜市场买每天的第一批白菜。
D.我们不喜欢吃白菜炖肉。",A,
165,if,AI,,如果定期维护哑铃，使用起来会更安全。健身房的工作人员还负责哑铃的维护。在维护期间，来锻炼的消费者不能擅自使用。,"A.如果定期维护铁质哑铃，使用起来会更安全。
B.如果定期维护运动器材，使用起来会更安全。
C.健身房的工作人员不负责哑铃的维护。
D.在维护期间，来锻炼的消费者可以擅自使用。",A,
166,if,AI,,如果番茄施这种肥料，产量会提高。村支书把先进的灌溉施肥技术教给当地村民，当地番茄的产量明显提高了。,"A.如果普罗旺斯番茄施这种肥料，产量会提高。
B.如果蔬菜施这种肥料，产量会提高。
C.村支书把落后的灌溉施肥技术教给当地村民。
D.当地番茄的产量降低了。",A,
167,if,AI,,如果猫咪接受这种训练，会更健康活泼。每一位爱猫的“铲屎官”都想给小猫最好的罐头和小窝，小猫也会给他们带来很多快乐。,"A.如果三花猫接受这种训练，会更健康活泼。
B.如果动物接受这种训练，会更健康活泼。
C.每一位爱猫的“铲屎官”都想给小猫最差的罐头和小窝。
D.小猫会给爱猫的“铲屎官”带来很多悲伤。",A,
168,if,AI,,如果给吉他定期使用这种油，演奏效果更佳。小明每次演出前都会细心地擦拭心爱的吉他，调好音，愉快地开始演出。,"A.如果给民谣吉他定期使用这种油，演奏效果更佳。
B.如果给乐器定期使用这种油，演奏效果更佳。
C.小明每次演出前都不擦拭心爱的吉他。
D.小明演出不愉快。",A,
169,if,AI,,如果10平方米的居室中有绿色植物，就会大大有利于空气净化。我的卧室里放了一盆小绿植，我每周回家都会给它浇水。,"A.如果10平方米的居室中有绿萝，就会大大有利于空气净化。
B.如果10平方米的居室中有植物，就会大大有利于空气净化。
C.我的卧室里放了一盆大绿植。
D.我不给卧室里的绿植浇水。",A,
170,if,AI,,如果早餐吃高纤维食品，能有效维持血糖稳定。我的外婆每天早饭就会吃燕麦，家里也会常备燕麦。,"A.如果早餐吃高纤维燕麦，能有效维持血糖稳定。
B.如果早餐吃食物，能有效维持血糖稳定。
C.我的外婆每天晚饭会吃燕麦。
D.家里不会常备燕麦。",A,
171,if,AI,,如果办公区域摆放木质家具，会提升空间质感。我的爸爸经常在家里办公，他很喜欢木质家具。,"A.如果办公区域摆放木质书桌，会提升空间质感。
B.如果办公区域摆放家具，会提升空间质感。
C.我的爸爸从不在家里办公。
D.我的爸爸不喜欢木质家具。",A,
172,if,AI,,如果在山区露营携带应急光源，那么夜间就不怕危险。丽丽作为登山队的领队，每次登山前都会仔细检查大家的装备。,"A.如果在山区露营携带强光手电筒，那么夜间就不怕危险。
B.如果在山区露营携带应急工具，那么夜间就不怕危险。
C.丽丽每次登山前都不仔细检查大家的装备。
D.丽丽不是登山队的领队。",A,
173,if,AI,,如果筷子使用这种清洗剂清洁，能防止细菌滋生。小明买了一个洗碗机。这个洗碗机是清洗消毒一体的。,"A.如果木质筷子使用这种清洗剂清洁，能防止细菌滋生。
B.如果餐具使用这种清洗剂清洁，能防止细菌滋生。
C.小明买了一个电饭煲。
D.这个洗碗机不具备消毒功能。",A,
174,if,AI,,如果冬季佩戴羊绒耳罩，那么可以耳朵就不会被冻伤。妈妈给我买了一个羊绒耳罩，我很喜欢。,"A.如果冬季佩戴鄂尔多斯羊绒耳罩，那么可以耳朵就不会被冻伤。
B.如果冬季佩戴耳罩，那么可以耳朵就不会被冻伤。
C.妈妈给我买了一个棉布耳罩。
D.我不喜欢妈妈买的羊绒耳罩。",A,
175,if,AI,,如果给新生儿穿棉质织物，那么可有效减少皮肤刺激。小红在挑选给朋友孩子的礼物时就选了棉质的衣物，她喜欢送给朋友实用的礼物。,"A.如果给新生儿穿棉质T恤，那么可有效减少皮肤刺激。
B.如果给新生儿穿纺织物，那么可有效减少皮肤刺激。
C.小红在挑选给朋友孩子的礼物时就选了涤纶的衣物。
D.她不喜欢送给朋友实用的礼物。",A,
176,if,AI,,如果在庭院种植攀援植物，那么就能有效利用垂直空间。小明是一名建筑设计师，他经常会建议房主在庭院种植攀援植物。,"A.如果在庭院种植紫藤，那么就能有效利用垂直空间。
B.如果在庭院种植物，那么就能有效利用垂直空间。
C.小明经常会建议房主不要在庭院种植攀援植物。
D.小明不是建筑设计师。",A,
177,if,AI,,如果菇类使用这种技术培养，那么品质会更高。现在大部分菌类是在室内培育的。培育菌类的工厂对湿度和温度有很高的要求。,"A.如果香菇使用这种技术培养，那么品质会更高。
B.如果蔬菜使用这种技术培养，那么品质会更高。
C.现在大部分菌类是在室外培育的。
D.培育菌类的工厂对湿度和温度没有要求。",A,
178,if,AI,,如果在制作沙拉时搭配莓类，那么能增加菜品层次感。莓类富含维生素，对身体很好。,"A.如果在制作沙拉时搭配草莓，那么能增加菜品层次感。
B.如果在制作沙拉时搭配水果，那么能增加菜品层次感。
C.莓类不含维生素。
D.莓类对身体不好。",A,
179,if,AI,,如果口红使用这种制作工艺，那么保质期会更久。小丽在买口红时很注意品质，她觉得口红里包含的化学用品越少越安全。,"A.如果大牌口红使用这种制作工艺，那么保质期会更久。
B.如果化妆品使用这种制作工艺，那么保质期会更久。
C.小丽觉得口红里包含的化学用品越多越安全。
D.小丽在买口红时不注意品质。",A,
180,if,AI,,如果在制作饮品时添加芳香草本，可增加特殊风味。这是阿民咖啡厅的独家配方，客人们都很喜欢芳香草本的味道。,"A.如果在制作饮品添加新鲜薄荷，可增加特殊风味。
B.如果在制作饮品添加草本植物，可增加特殊风味。
C.在制作饮品时添加芳香草本不是阿民咖啡厅的独家配方。
D.客人们不喜欢芳香草本的味道。",A,
